HD-40, 	Mika Stilwell, 	David Buehler, 	0.09991, 	-0.05, 	0.02, 	0.000948480817278372, 	0.013923, 	0.0847846191638807, 	0.0651536645170477, 	0.096577
HD-41, 	Jeff Pittman, 	Ann Reinhart, 	0.10115, 	-0.05, 	0, 	-0.051599911006906, 	-0.023358, 	-0.0238055327027361, 	0.0642650760522385, 	0.644468
HD-42, 	Brandon Wendt, 	Lance W. Neelly, 	0.19383, 	-0.05, 	0.02, 	0.0312758825190787, 	0.0127908, 	0.207892268279491, 	0.0651536645170477, 	0.000709
HD-43, 	Kristen Schultz, 	Bill Sutton, 	0.18379, 	-0.05, 	0.02, 	0.02718833270183, 	0.0015249, 	0.182501570887527, 	0.0642650760522385, 	0.002257
HD-44, 	, 	, 	-0.51829, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-45, 	, 	, 	-0.41504, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-46, 	, 	, 	-0.75551, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-47, 	Mary T. Williams, 	Paula Newell Ellis, 	0.27991, 	-0.05, 	0, 	-0.0130399401829844, 	-0.002958, 	0.213915584671854, 	0.0651536645170477, 	0.000513
HD-48, 	, 	, 	-0.07688, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-49, 	Nikki L. McDonald, 	Tricia Sinclair, 	-0.04107, 	-0.05, 	-0.03, 	-0.00120716603995101, 	-0.008823, 	-0.131097122796375, 	0.0651536645170477, 	0.977896
HD-50, 	, 	, 	0.24817, 	-0.05, 	0, 	0, 	, 	1.01, 	0.0670671305484289, 	0.000000
HD-51, 	, 	, 	0.3319, 	-0.05, 	0, 	0, 	, 	1.01, 	0.0670671305484289, 	0.000000
HD-52, 	Toni Scalia, 	Jesse Borjon, 	0.05434, 	-0.05, 	0.02, 	0.0312734791356715, 	0.016575, 	0.0721913869984835, 	0.0632613626157389, 	0.126902
HD-53, 	, 	, 	-0.10137, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-54, 	Chris Tanner, 	Ken Corbet, 	0.30839, 	-0.05, 	0.02, 	-0.0299202242070801, 	, 	0.248474034915794, 	0.0652303610292017, 	0.000070
HD-55, 	Tobias Schlingensiepen, 	Lanell Griffith, 	-0.27226, 	-0.05, 	-0.03, 	-0.00143997051380292, 	, 	-0.353698737687352, 	0.0652303610292017, 	1.000000
HD-56, 	Virgil Weigel, 	Elvin Fajardo, 	-0.10455, 	-0.05, 	-0.03, 	0.00613964070141908, 	-0.0050337, 	-0.183441266059333, 	0.0642650760522385, 	0.997844
HD-57, 	, 	, 	-0.14064, 	-0.05, 	0, 	0, 	, 	-1.01, 	0.0670671305484289, 	1.000000
HD-58, 	Alexis Simmons, 	Michael Mathewson, 	-0.24416, 	-0.05, 	-0.03, 	-0.0325164871686185, 	, 	-0.356679441617426, 	0.0651306379517351, 	1.000000
HD-59, 	Michael Lewis, 	Rebecca Schmoe, 	0.35124, 	-0.05, 	0.02, 	0.0193253631170424, 	, 	0.340565611811043, 	0.0645523043740501, 	0.000000
HD-60, 	Maddison Glover, 	Mark Schreiber, 	0.01416, 	-0.05, 	0.02, 	0.0488903051894651, 	0.0156366, 	0.0486899463679126, 	0.0642650760522385, 	0.224333
HD-61, 	, 	, 	0.43677, 	-0.05, 	0, 	0, 	, 	1.01, 	0.0670671305484289, 	0.000000
HD-62, 	Jack E. Geiger (Independent), 	Sean M. Wilcott, 	0.55223, 	-0.05, 	0.02, 	0, 	-0.0014229, 	0.320808714982679, 	0.145483057432816, 	0.013723
HD-63, 	Adam Booth, 	Allen B. Reavis, 	0.424, 	-0.05, 	0.02, 	0, 	, 	0.393995551900297, 	0.0669346696413749, 	0.000000
HD-64, 	, 	, 	0.51078, 	-0.05, 	0, 	0, 	, 	1.01, 	0.0670671305484289, 	0.000000
HD-65, 	, 	, 	0.13285, 	-0.05, 	0, 	0, 	, 	1.01, 	0.0670671305484289, 	0.000000
