ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_24_ACS_Total,T_24_ACS_White,T_24_ACS_Hispanic,T_24_ACS_Black,T_24_ACS_Asian,T_24_ACS_Native,T_24_ACS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_18_SOS_Total,E_18_SOS_Dem,E_18_SOS_Rep,E_18_TREAS_Total,E_18_TREAS_Dem,E_18_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_SOS_Total,E_22_SOS_Dem,E_22_SOS_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,X_20_KS_2020_StateHouse_contested_only_DRA_D,X_20_KS_2020_StateHouse_contested_only_DRA_R,X_20_KS_2020_StateHouse_contested_only_DRA_Tot,X_20_KS_2020_StateSenate_contested_only_DRA_D,X_20_KS_2020_StateSenate_contested_only_DRA_R,X_20_KS_2020_StateSenate_contested_only_DRA_Tot,X_22_2022_Age_by_Sex_Male_U5,X_22_2022_Age_by_Sex_Male_5_9,X_22_2022_Age_by_Sex_Male_10_14,X_22_2022_Age_by_Sex_Male_15_17,X_22_2022_Age_by_Sex_Male_18_19,X_22_2022_Age_by_Sex_Male_20,X_22_2022_Age_by_Sex_Male_21,X_22_2022_Age_by_Sex_Male_22_24,X_22_2022_Age_by_Sex_Male_25_29,X_22_2022_Age_by_Sex_Male_30_34,X_22_2022_Age_by_Sex_Male_35_39,X_22_2022_Age_by_Sex_Male_40_44,X_22_2022_Age_by_Sex_Male_45_49,X_22_2022_Age_by_Sex_Male_50_54,X_22_2022_Age_by_Sex_Male_55_59,X_22_2022_Age_by_Sex_Male_60_61,X_22_2022_Age_by_Sex_Male_62_64,X_22_2022_Age_by_Sex_Male_65_66,X_22_2022_Age_by_Sex_Male_67_69,X_22_2022_Age_by_Sex_Male_70_74,X_22_2022_Age_by_Sex_Male_75_79,X_22_2022_Age_by_Sex_Male_80_84,X_22_2022_Age_by_Sex_Male_O84,X_22_2022_Age_by_Sex_Female_U5,X_22_2022_Age_by_Sex_Female_5_9,X_22_2022_Age_by_Sex_Female_10_14,X_22_2022_Age_by_Sex_Female_15_17,X_22_2022_Age_by_Sex_Female_18_19,X_22_2022_Age_by_Sex_Female_20,X_22_2022_Age_by_Sex_Female_21,X_22_2022_Age_by_Sex_Female_22_24,X_22_2022_Age_by_Sex_Female_25_29,X_22_2022_Age_by_Sex_Female_30_34,X_22_2022_Age_by_Sex_Female_35_39,X_22_2022_Age_by_Sex_Female_40_44,X_22_2022_Age_by_Sex_Female_45_49,X_22_2022_Age_by_Sex_Female_50_54,X_22_2022_Age_by_Sex_Female_55_59,X_22_2022_Age_by_Sex_Female_60_61,X_22_2022_Age_by_Sex_Female_62_64,X_22_2022_Age_by_Sex_Female_65_66,X_22_2022_Age_by_Sex_Female_67_69,X_22_2022_Age_by_Sex_Female_70_74,X_22_2022_Age_by_Sex_Female_75_79,X_22_2022_Age_by_Sex_Female_80_84,X_22_2022_Age_by_Sex_Female_O84,X_22_2022_Education_NoHS,X_22_2022_Education_HS,X_22_2022_Education_SomeCol,X_22_2022_Education_Assoc,X_22_2022_Education_Bach,X_22_2022_Education_Master,X_22_2022_Education_Prof,X_22_2022_Education_Doc,X_22_2022_Income_Expanded_U10K,X_22_2022_Income_Expanded_U15K,X_22_2022_Income_Expanded_U20K,X_22_2022_Income_Expanded_U25K,X_22_2022_Income_Expanded_U30K,X_22_2022_Income_Expanded_U35K,X_22_2022_Income_Expanded_U40K,X_22_2022_Income_Expanded_U45K,X_22_2022_Income_Expanded_U50K,X_22_2022_Income_Expanded_U60K,X_22_2022_Income_Expanded_U75K,X_22_2022_Income_Expanded_U100K,X_22_2022_Income_Expanded_U125K,X_22_2022_Income_Expanded_U150K,X_22_2022_Income_Expanded_U200K,X_22_2022_Income_Expanded_O200K,X_22_Commissioner_of_Insurance_2022_D,X_22_Commissioner_of_Insurance_2022_R,X_22_Commissioner_of_Insurance_2022_Tot,X_22_KS_2022_Amendment_DRA_D,X_22_KS_2022_Amendment_DRA_R,X_22_KS_2022_Amendment_DRA_Tot,X_22_KS_2022_Q1_RulesRegs_DRA_D,X_22_KS_2022_Q1_RulesRegs_DRA_R,X_22_KS_2022_Q1_RulesRegs_DRA_Tot,X_22_KS_2022_Q2_Sheriff_DRA_D,X_22_KS_2022_Q2_Sheriff_DRA_R,X_22_KS_2022_Q2_Sheriff_DRA_Tot,X_22_KS_2022_StateHouse_contested_only_DRA_D,X_22_KS_2022_StateHouse_contested_only_DRA_R,X_22_KS_2022_StateHouse_contested_only_DRA_Tot,X_24_KS_2024_StateHouse_contested_only_DRA_D,X_24_KS_2024_StateHouse_contested_only_DRA_R,X_24_KS_2024_StateHouse_contested_only_DRA_Tot,X_24_KS_2024_StateSenate_contested_only_DRA_D,X_24_KS_2024_StateSenate_contested_only_DRA_R,X_24_KS_2024_StateSenate_contested_only_DRA_Tot,Persons Living Alone,Family Households with Persons Under 18,Owner Occupied Housing,Renter Occupied Housing,Total Persons in Group Quarters,Persons in nursing homes
10,10,23042,15371,2242,2187,1304,2240,37,23435,15865,2168,1968,2391,1457,7,18750,12935,1575,1493,1103,1778,27,18739,13975,1495,1434,942,927,0,1120,754,349,0,8714,6077,1827,8759,6187,2127,8469,6821,1207,8312,6403,1909,8411,6672,1485,8380,6816,1564,9135,6868,1873,10269,7896,2126,10257,7774,2017,7926,6030,1648,7971,6603,1188,7901,6670,1231,7841,6003,1596,7853,6084,1453,9811,7516,2142,0,0,0,4614,1441,6053,600,378,424,300,410,809,862,1616,1479,1074,1114,513,665,356,546,191,302,81,180,397,82,113,15,427,525,477,146,752,518,497,1390,859,825,923,523,603,384,437,304,232,176,264,238,183,177,71,700,2730,3024,1155,3360,1616,254,442,624,419,665,365,467,404,408,414,898,1040,1172,1586,1101,233,544,208,5785,1940,7725,6541,1009,7544,5225,1800,7024,4171,2731,6902,0,0,0,239,115,350,7587,2250,9833,3241,2903,4063,5847,828,6
11,11,23072,17074,1905,1855,220,2164,46,22958,17286,2019,1745,317,1564,62,17770,13749,1154,1246,164,1514,33,17146,14093,884,990,78,919,61,788,18,240,61,8650,2075,6061,8531,2106,5754,7195,2319,4344,7193,1670,5523,7195,2008,4933,7134,2117,5017,8405,2204,5875,9724,2543,6981,9665,2548,6632,6852,1644,4995,6948,2150,4604,6811,2098,4713,6820,1651,4982,6821,1834,4760,8894,2284,6450,0,0,0,0,0,0,775,819,832,461,399,175,187,373,484,873,689,541,626,696,842,322,644,293,344,467,367,267,191,620,840,629,523,427,147,75,283,638,705,604,692,553,697,877,445,453,231,532,584,319,330,395,1710,5130,3880,1819,2117,884,116,29,485,603,540,645,501,406,627,453,451,832,1126,971,680,384,302,291,1621,5070,6691,2485,3124,5609,2720,3841,6562,2039,4596,6636,1705,5086,6792,0,0,0,2362,6288,8652,3087,2986,6527,2994,741,211
12,12,23135,19404,1041,573,238,1915,62,22903,19268,1185,483,268,1521,14,17685,15319,594,300,148,1276,26,17427,15409,664,252,260,954,4,169,16,298,4,10414,1690,8223,10339,1728,7916,8464,2137,5530,8421,1480,6941,8417,1944,6170,8364,1707,6657,10037,1811,7866,11656,2021,9448,11588,2171,8910,8715,1355,7080,8752,2158,6269,8598,2091,6507,8666,1435,6985,8671,1671,6699,11251,1939,9147,160,830,990,0,0,0,674,842,837,609,292,63,82,364,619,530,773,610,664,609,812,366,563,423,500,515,364,337,131,512,733,833,438,335,104,120,312,437,554,636,607,589,699,789,269,582,298,400,684,618,326,293,1281,5112,4280,1614,2368,895,57,60,596,318,358,415,558,408,353,360,413,839,1104,1353,807,617,307,378,1404,7155,8559,2880,4263,7144,3168,4997,8162,2345,5881,8222,7,18,24,0,0,0,1687,7876,9562,2696,2944,7498,2026,118,83
13,13,22781,19466,1807,304,202,1033,34,22577,19674,1722,241,80,809,59,17687,15445,1200,159,131,735,21,17053,15450,885,116,22,518,4,57,5,131,4,10075,1983,7473,9971,1766,7607,8191,2752,4697,8114,1713,6401,8106,2224,5598,8052,1993,6059,9643,2143,7125,11028,2343,8476,10995,2667,7741,8717,1533,6918,8717,2641,5794,8641,2419,6222,8670,1654,6758,8698,1966,6336,10438,2162,8116,2801,7773,10578,312,624,947,706,869,659,488,221,174,119,233,589,551,636,653,684,671,722,439,552,263,521,682,393,256,290,575,563,810,439,163,107,127,338,603,536,650,565,562,666,803,319,607,284,436,701,450,361,430,1450,5967,3925,1569,2257,715,80,57,426,525,539,490,513,405,443,480,457,774,910,1168,749,555,374,350,1542,7026,8568,3222,3602,6840,3245,4532,7791,2309,5636,7960,12,24,40,1935,7842,9778,283,401,688,3098,2831,7216,2453,471,194
14,14,22977,18404,1350,1220,1417,456,28,26143,21173,2106,995,1363,282,96,16484,13535,799,766,934,321,16,17899,15524,944,630,617,171,0,478,462,23,0,11292,4418,5727,11128,3852,6727,10705,5389,4360,10583,4873,5710,10661,4629,5745,10573,4837,5736,12018,5374,6047,14155,6974,6894,14172,6743,6843,11178,5043,5862,11214,6272,4729,11096,6364,4732,11107,5101,5820,11051,5174,5279,15163,7640,7271,6266,7727,14008,6861,7173,14047,874,1498,1143,608,361,80,65,337,500,624,940,1046,933,833,703,351,343,264,402,591,144,221,75,741,862,1052,617,183,11,124,279,435,830,954,877,1098,683,757,277,362,342,521,413,333,210,202,455,2171,2739,1200,6040,2725,516,412,184,66,40,64,261,96,193,49,93,195,531,995,1455,821,1563,2013,4873,6048,10921,7177,3855,11030,5931,5115,11046,4892,6142,11032,5706,5516,11224,7674,8100,15773,7708,8108,15814,1301,3531,6955,1061,156,156
15,15,22856,13477,6030,2045,595,770,88,22039,13389,5670,2047,706,654,28,17116,11067,3798,1309,394,527,57,14881,11374,1858,1042,321,179,0,763,295,90,0,7657,2962,3951,7453,2655,4131,6631,3252,2824,6561,3108,3453,6599,2804,3544,6535,3104,3431,7620,3380,3767,8736,4216,4282,8697,4084,3986,5811,2610,2968,5824,3134,2492,5789,3204,2585,5777,2674,2927,5752,2634,2697,8036,3884,3948,3933,4672,8622,4132,4509,8658,670,776,817,593,490,208,107,568,810,849,839,625,634,711,538,261,222,272,455,397,127,216,188,663,972,673,350,446,165,135,604,1011,856,860,608,694,575,461,241,220,179,281,439,429,218,675,2184,3357,3562,1517,2735,1171,142,221,341,330,196,361,544,351,506,369,455,405,997,1208,834,605,604,287,2692,2979,5671,3588,2141,5731,2971,2850,5823,2366,3427,5792,2884,2969,5855,3609,3838,7448,3810,3984,7797,2366,3330,4262,4206,1081,300
16,16,23745,18407,1546,1404,1836,503,28,23247,17880,2112,1224,1784,368,68,18924,15036,1070,1003,1390,374,17,18545,15466,1356,744,890,105,10,676,694,9,10,12564,5464,6020,12362,4764,7063,11842,6468,4635,11713,5773,5940,11774,5632,5834,11666,5754,5912,12928,6270,6106,14516,7697,6530,14543,7460,6459,11146,5459,5374,11168,6591,4395,11058,6686,4372,11087,5522,5377,11023,5521,4787,13714,7409,6058,5334,5409,10750,7751,6912,14676,468,365,612,411,395,47,136,499,850,722,856,612,564,869,750,244,360,173,180,963,232,114,174,593,527,421,346,281,72,136,584,1031,915,754,571,563,917,818,287,452,266,378,683,258,177,385,322,1346,2624,874,6637,3196,646,476,166,195,127,86,161,168,95,252,347,661,783,1436,1196,1237,1284,1744,5244,5568,10812,7467,3787,11254,6352,4731,11084,5321,5702,11024,6232,5288,11527,521,573,1094,7781,6314,14095,3206,2996,6361,3907,34,34
17,17,23226,18561,1345,1429,1243,541,29,23330,18882,1856,970,1347,303,48,18452,15048,955,981,930,415,15,18161,15662,862,689,835,88,0,599,708,5,0,13067,5969,5859,12866,5110,7079,12132,6843,4457,11982,6087,5895,12051,5954,5727,11937,6077,5860,13282,6658,5996,14774,8098,6364,14816,7902,6293,11537,5849,5429,11572,7013,4320,11466,7187,4279,11448,5857,5376,11412,5954,4851,14194,7847,6090,7558,6742,14644,7693,6988,14712,766,615,779,634,213,176,84,447,828,847,985,730,631,678,663,215,438,393,500,661,415,90,118,666,595,663,364,56,67,87,935,715,959,541,930,563,764,768,362,606,379,704,713,317,166,206,387,1978,3089,1604,6099,2865,438,421,284,315,206,97,207,169,211,238,227,738,708,1038,1313,884,1436,1800,5546,5729,11275,7815,3764,11577,6631,4438,11069,5634,5390,11028,5935,4937,11081,7947,4521,12468,3724,3857,7581,2356,3002,6322,3246,2,0
18,18,23693,17814,2682,1490,874,802,60,23723,17879,3201,1534,988,309,45,18731,14669,1762,1012,621,584,41,18460,14919,1784,931,676,148,0,745,608,0,0,12230,5483,5529,11998,5156,5970,10952,6050,4017,10846,5782,5064,10901,5532,4979,10817,5774,5043,12257,6172,5389,13713,7376,5990,13719,7200,5748,10106,5256,4524,10127,6138,3698,10042,6302,3740,10032,5303,4471,10004,5231,4093,12944,7121,5542,6492,5765,12324,6778,6849,13649,627,629,718,381,253,41,122,577,708,855,646,846,514,617,997,312,383,274,566,600,252,258,205,628,601,551,427,223,69,130,484,676,805,657,674,882,783,1015,334,675,357,400,659,340,250,238,868,3753,3478,2050,4430,1553,410,228,269,157,116,177,273,270,200,326,152,747,985,1632,1365,803,863,923,5143,4708,9851,6563,2978,9542,5554,3932,9489,4437,5004,9442,5331,4009,9347,6864,4895,12273,6562,5916,12476,2660,3129,7232,2332,437,363
19,19,24080,20284,1274,1004,914,467,40,25972,22543,1319,783,869,281,0,18388,15800,799,702,648,341,31,19089,17302,790,508,317,162,0,413,278,0,0,13665,7241,5231,13481,6080,6913,13026,8192,3939,12831,7191,5640,12934,7329,5238,12802,7352,5450,14110,8027,5528,15820,9836,5701,15871,9641,5764,13179,7562,5312,13204,8904,4092,13070,9093,3977,13064,7643,5216,13015,7661,4599,15936,9951,5744,2381,1727,4112,8853,6961,15845,532,756,1082,502,312,55,13,548,642,585,866,1087,791,673,594,348,488,463,293,699,430,177,293,755,788,981,487,196,13,60,295,413,767,832,903,615,510,1181,455,476,203,353,631,257,437,526,279,1562,2667,839,6434,3582,1357,268,297,112,150,204,86,421,125,315,179,552,779,1192,1246,892,1118,2241,7094,5912,13005,9711,3110,12822,8218,4492,12711,6916,5662,12578,7646,4881,12537,8598,5340,13942,9313,5880,15193,2793,3369,7273,2631,22,0
20,20,23650,20254,841,618,1393,312,32,24153,21276,1126,285,1017,120,4,18946,16503,557,476,1030,206,22,18620,17069,677,302,479,87,1,259,393,5,1,14775,6970,6700,14564,5470,8592,13671,7649,5178,13509,6628,6881,13579,6677,6579,13467,6706,6761,14833,7423,6882,16169,9009,6907,16212,8792,7021,12798,6470,6066,12816,7832,4784,12692,8061,4631,12709,6534,6006,12668,6620,5388,15629,8922,6471,6456,6317,12783,8094,8042,16153,699,627,682,283,258,109,133,271,805,660,610,991,706,638,1062,480,495,342,644,630,645,326,384,554,708,973,351,128,17,60,423,570,570,1096,605,547,613,1072,617,572,286,714,828,540,336,696,286,1379,2816,754,7454,4016,1661,713,352,79,164,208,190,168,84,91,211,302,698,936,1081,791,1416,3597,6060,6394,12454,8631,3445,12078,7170,5021,12187,6169,5881,12053,6957,5635,12595,8540,6403,14940,8061,7131,15190,3108,2800,7053,2949,784,430
21,21,23871,20219,1569,752,671,550,26,23277,19727,1635,776,840,227,24,18983,16499,1058,463,450,416,11,18223,16193,954,345,508,109,4,237,388,31,4,13599,7668,4701,13365,6730,5998,12710,8510,3349,12525,7770,4755,12615,7762,4423,12511,7831,4680,13762,8383,4778,15164,9854,5041,15176,9802,4836,11688,7368,4041,11715,8384,3128,11602,8482,3120,11591,7409,3974,11557,7360,3516,14482,9527,4753,8537,5097,13650,9037,5963,15028,678,550,674,485,109,29,179,250,1028,805,1110,961,734,561,582,284,395,286,267,346,335,162,474,835,651,753,125,144,95,35,597,1132,935,1061,851,644,593,687,265,549,237,548,525,277,258,529,389,2020,2692,1115,6448,3277,1000,481,225,144,133,312,343,151,469,225,365,617,1144,1700,1303,760,1268,1518,6862,4297,11160,9222,2305,11526,7576,3705,11282,6336,4835,11172,127,111,234,325,261,579,8990,4978,13964,3607,3315,7692,2996,499,415
22,22,23899,16386,3580,2355,976,780,34,22837,16778,3021,2029,1089,695,2,18874,13785,2349,1523,713,554,17,17278,13920,1415,1172,534,224,0,1109,419,13,0,11041,5651,4292,10771,5192,4903,9952,6189,2993,9841,5985,3856,9879,5722,3723,9796,5918,3878,11037,6296,4122,12309,7500,4502,12287,7242,4208,8709,5151,3196,8729,5874,2608,8661,5970,2691,8647,5243,3205,8613,5058,2797,11433,7055,4165,1748,1293,3093,7565,4908,12499,600,420,451,659,457,269,76,977,1304,1253,900,528,647,439,669,394,348,205,301,346,242,174,104,783,646,684,427,114,131,197,555,1210,1038,826,674,723,784,706,161,425,207,327,246,285,235,360,966,2940,3144,1591,5070,1770,443,160,139,201,355,112,285,183,276,272,425,910,1774,1697,1228,810,1064,553,5051,3398,8449,7285,2294,9577,5954,3453,9410,4897,4467,9362,5861,3387,9256,880,714,1591,4763,3115,7882,3943,3336,5468,5209,89,61
23,23,24042,15458,4009,2999,1090,675,39,24908,15071,3959,4788,1888,775,9,18801,12965,2595,1957,844,484,28,17729,12465,1925,2195,1035,76,0,2013,737,0,0,10191,5060,4128,10014,4646,4727,9422,5666,3027,9314,5360,3954,9364,5164,3841,9271,5366,3905,10444,5789,4093,11887,7131,4444,11839,6873,4262,8456,4700,3432,8477,5518,2737,8407,5572,2835,8381,4768,3410,8366,4723,3046,11108,6636,4233,6347,4848,11626,6917,4836,11765,910,994,665,270,251,223,199,883,1261,1061,912,864,626,718,630,228,451,154,282,291,238,350,102,1095,860,677,316,489,132,124,690,1075,1176,1005,611,514,598,608,322,484,234,362,636,375,186,311,1075,3364,4015,1134,4906,1678,209,271,410,314,157,403,336,408,292,373,533,988,1369,1453,1470,854,753,455,4612,3613,8225,6217,2432,8652,5153,3413,8563,4267,4218,8483,331,233,570,295,188,493,1929,1455,3383,3350,3328,5113,5241,353,277
24,24,23314,16212,3528,2031,927,715,40,23343,16490,3817,1966,721,912,84,19121,14076,2390,1375,741,553,35,18258,14320,1843,1509,414,157,0,1401,314,27,0,10789,5823,3872,10531,5357,4465,9657,6357,2588,9543,6180,3363,9595,5929,3248,9517,6136,3381,10832,6533,3706,12195,7853,4067,12178,7654,3761,8776,5415,3068,8792,6148,2420,8724,6180,2544,8689,5524,2948,8673,5385,2642,11507,7307,3975,51,32,85,7484,4664,12178,870,540,422,432,295,56,57,920,1547,1153,911,660,902,427,700,306,340,410,231,386,156,192,112,481,538,495,344,296,131,209,616,1486,836,633,648,491,488,691,246,331,242,380,869,305,240,281,984,3173,3786,1401,4337,2117,471,337,548,218,389,390,418,552,493,381,406,1244,1405,1943,906,809,738,495,5283,3252,8535,6982,2091,9069,5795,3082,8873,4634,4197,8828,501,336,837,7288,4055,11366,4529,2493,7026,4595,3033,5525,5742,281,229
25,25,24050,19969,1910,716,876,435,45,24514,20596,2080,598,906,215,4,19119,16353,1281,461,584,317,22,19016,16710,1245,417,535,55,4,288,394,0,4,14132,8152,4712,13919,6856,6450,13647,9166,3546,13409,8281,5128,13527,8412,4732,13399,8354,5045,14519,8949,4993,15971,10652,5043,16064,10548,5066,12750,8036,4453,12781,9192,3389,12630,9389,3241,12622,8081,4317,12583,8019,3880,15363,10323,4797,486,438,925,9524,6244,15799,811,642,664,361,96,94,82,334,805,1039,944,581,797,613,629,260,481,249,508,531,219,256,196,794,802,556,231,321,20,52,976,1027,999,925,826,625,609,858,208,633,297,285,547,460,398,355,201,1424,3051,783,6732,2878,1539,550,280,288,177,142,189,190,267,162,249,565,786,1481,1208,769,1291,2290,7538,4820,12358,10195,2427,12623,8351,4049,12402,7017,5272,12290,0,0,0,9763,5399,15166,10117,5229,15348,3255,3290,8182,2312,75,71
26,26,23543,18875,1446,1168,1266,646,24,26074,21375,1958,837,1286,383,35,16498,13556,864,718,803,455,15,17629,15545,855,298,714,199,0,294,588,5,0,9499,3161,5411,8529,2580,5284,8784,3964,4066,8698,3693,5005,8733,3344,5035,8666,3690,4976,10183,3986,5646,12857,5368,7204,12836,5201,6941,9922,3844,5808,9940,4820,4878,9851,4877,4974,9831,3883,5674,9799,3901,5288,14841,6277,8302,4768,7421,12204,4827,7471,12321,452,1098,1025,787,348,182,119,335,488,628,1215,1205,890,999,567,330,300,63,256,323,179,74,66,870,961,1170,566,244,114,57,357,451,683,1224,1112,903,746,944,124,348,238,191,276,166,72,146,434,2416,2577,1452,5085,2701,265,246,125,213,53,61,127,92,118,131,44,414,584,1016,1181,970,1691,1394,3810,5866,9676,5318,3310,8625,4354,4408,8762,3421,5334,8752,3597,4990,8590,768,1153,1917,5589,7489,13071,1242,3727,6797,1175,85,85
27,27,23335,18888,950,729,2173,507,31,23553,19415,927,496,2264,161,83,16988,14150,575,475,1367,365,10,16982,14890,602,154,1099,146,0,150,939,43,0,11816,4199,6699,11619,3383,7685,11165,4968,5446,11064,4374,6690,11132,4154,6210,11037,4366,6671,12549,4971,7082,14843,6527,8044,14843,6367,7954,11721,4555,6889,11731,5688,5856,11630,5810,5820,11634,4613,6818,11592,4574,6267,15708,6953,8475,4324,7629,11960,5456,8830,14299,417,999,1113,526,279,210,86,310,381,389,782,799,984,893,1177,405,324,234,363,528,280,74,139,407,657,1201,692,241,82,74,330,184,456,926,620,832,964,950,287,425,326,284,523,173,195,87,304,1728,2174,881,5879,2516,928,595,45,5,58,199,50,17,88,83,181,316,379,900,628,661,1406,2917,4370,7054,11424,6812,4168,10981,5516,5788,11300,4647,6575,11220,4703,6459,11168,5562,8218,13780,6347,8692,15043,1042,3547,7168,768,64,0
28,28,23453,16828,996,963,4190,367,19,24100,16770,840,1649,4811,187,34,18211,13535,657,663,2986,261,15,16783,13941,437,905,1431,50,4,901,1372,0,4,11770,4970,5930,11588,3916,7309,10881,5607,4609,10773,4921,5852,10818,4851,5682,10739,4917,5822,12037,5522,6099,13561,6929,6420,13590,6730,6456,10365,4734,5436,10379,5789,4459,10301,5973,4328,10302,4820,5360,10248,4798,4880,13137,6793,6145,6433,7058,13510,6300,7291,13614,610,699,759,330,161,91,93,384,1004,814,700,758,786,889,842,209,448,432,233,376,372,215,98,652,601,567,574,181,71,72,403,847,651,650,800,515,1069,927,343,341,448,689,458,427,208,163,245,1183,2165,686,6752,4070,1137,475,273,94,151,98,266,224,146,187,144,556,801,1363,1025,736,1385,2894,4470,5636,10106,6299,3008,9306,5069,4277,9350,4357,4915,9268,4927,4980,9918,6001,6208,12212,6110,6333,12444,2657,3098,5584,4041,6,0
29,29,24071,16784,1889,1679,3155,463,42,25208,17237,2107,2594,2786,404,16,19417,14070,1318,1216,2377,361,27,18830,14778,980,1508,1240,141,4,1390,1135,5,4,11913,5765,5111,11671,5049,6080,10889,6420,3726,10782,5892,4890,10849,5791,4715,10784,5958,4826,11996,6421,5044,13378,7806,5300,13388,7628,5157,9907,5381,4257,9922,6354,3369,9842,6468,3374,9847,5502,4179,9830,5446,3714,12709,7610,4904,7967,7021,14995,8087,7010,15110,992,538,688,302,175,161,168,729,1239,861,856,891,599,487,727,402,471,237,386,466,267,213,203,640,624,494,491,427,210,163,882,1011,946,875,764,654,671,688,317,591,296,667,872,386,379,257,351,2187,3622,1028,6055,3309,641,476,327,373,188,262,559,489,486,429,397,614,1279,1570,1315,1004,1324,1084,5217,4418,9635,7771,3190,10961,6554,4513,11065,5494,5472,10966,6442,5268,11719,2397,2315,4712,8665,6413,15076,3787,3148,5361,5565,8,0
30,30,23578,16253,3470,2009,1343,615,74,22931,15824,3630,2335,1080,301,20,17579,12772,2140,1287,939,460,49,15919,12640,1270,1348,518,84,14,1293,374,12,14,9837,4027,4921,9668,3454,5677,9180,4661,3759,9101,4282,4819,9134,4081,4796,9065,4260,4805,10417,4776,5133,12323,6179,5857,12360,6007,5756,8975,4110,4644,8998,5050,3749,8922,5131,3791,8923,4150,4609,8892,4170,4205,12056,6108,5722,5826,6375,12213,5953,6277,12246,568,631,641,555,412,100,113,448,805,644,678,782,726,872,661,316,413,224,328,270,235,56,119,482,715,577,328,348,61,130,468,636,601,976,608,907,818,643,280,507,244,296,348,189,263,316,711,2816,2657,924,4449,2192,525,490,301,180,99,185,292,225,241,338,306,586,864,968,929,714,1023,1645,3958,4808,8766,5662,2889,8554,4653,3812,8465,3804,4605,8415,4166,4194,8364,6901,7005,13907,4256,4437,8696,2249,3502,5220,3741,289,0
31,31,23924,10087,9250,3382,856,1003,62,24289,9548,9230,4434,1305,1004,89,18508,8891,6306,2224,699,757,39,15718,8477,4532,2179,211,234,22,1794,151,110,22,6299,4021,1753,6080,3826,1786,5720,4108,1131,5641,4201,1440,5642,4017,1372,5620,4179,1441,6549,4483,1717,7811,5452,2183,7771,5302,1948,4521,3074,1272,4544,3375,1044,4503,3395,1108,4477,3089,1242,4487,3058,1138,6549,4392,2044,5080,1941,7051,5488,2162,7652,957,821,657,459,266,53,183,669,1423,1162,862,955,731,803,554,488,319,170,345,225,168,96,196,600,682,729,460,131,238,218,755,1274,837,652,645,570,541,610,243,481,408,255,254,247,175,89,2054,5855,2996,974,2564,917,312,107,810,376,458,488,623,674,441,432,582,839,1215,1037,854,581,358,238,3075,1348,4423,3764,952,4716,2829,1753,4586,2047,2552,4597,3466,1348,4835,4632,2115,6747,4680,2149,6825,3678,3357,4185,5786,506,491
32,32,23900,4469,14764,2657,1753,816,80,22280,4170,13706,3057,1580,1020,122,16430,3876,9399,1786,1110,593,44,10283,3593,4252,1589,590,243,0,1418,442,4,0,3691,2534,894,3517,2314,969,3172,2356,571,3094,2365,729,3091,2271,713,3057,2350,707,3681,2650,874,4427,3239,1111,4370,3129,941,2347,1596,668,2350,1754,534,2323,1772,551,2296,1587,652,2306,1594,559,3746,2600,1084,2552,820,3380,3234,1014,4247,904,963,1407,873,431,316,125,735,754,1003,1185,819,747,609,665,189,334,157,248,222,136,65,57,788,928,851,568,328,101,42,397,792,727,886,742,627,509,489,217,280,80,160,205,167,41,191,4724,3973,2102,898,1043,438,129,6,547,563,386,401,511,443,418,466,356,814,724,808,532,265,162,139,1606,665,2271,1911,570,2481,1385,959,2343,973,1371,2343,142,72,216,2823,1018,3841,1523,666,2188,2009,3746,3751,3974,442,0
